lsoa11cd,Variable: All usual residents; measures: Value,Variable: Lives in a communal establishment; measures: Value,Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value
E01011264,1279,3,17
E01011265,1625,71,17
E01011266,2027,0,43
E01011267,1496,0,15
E01011268,1394,0,5
E01011269,1552,14,13
E01011270,1616,0,47
E01011271,2158,0,31
E01011272,1521,0,19
E01011273,1487,28,14
E01011274,1488,57,17
E01011275,1350,0,11
E01011276,1384,0,25
E01011277,1511,0,20
E01011278,1631,0,19
E01011279,1312,27,17
E01011280,1757,0,22
E01011281,1878,58,7
E01011282,1378,0,2
E01011283,1331,0,8
E01011284,1751,9,6
E01011286,1244,0,5
E01011287,1320,0,9
E01011292,1619,0,4
E01011293,1720,17,1
E01011294,1518,505,2
E01011295,1526,0,3
E01011296,1678,0,35
E01011297,1585,0,18
E01011298,1538,0,7
E01011299,2238,0,26
E01011300,1469,0,15
E01011301,1336,0,20
E01011302,1406,35,13
E01011303,1145,0,7
E01011304,1591,0,12
E01011305,1496,0,14
E01011306,1342,0,15
E01011307,1526,34,2
E01011308,1528,10,5
E01011309,1507,0,24
E01011310,1623,0,34
E01011311,1217,0,36
E01011312,1599,1,6
E01011313,1595,0,5
E01011314,1472,0,11
E01011315,1552,0,5
E01011316,1657,0,7
E01011317,1705,0,11
E01011318,1470,0,9
E01011319,1568,26,8
E01011320,1674,0,13
E01011321,1544,0,11
E01011322,1544,5,12
E01011323,1267,5,3
E01011324,2251,944,32
E01011325,1436,0,4
E01011326,1359,5,6
E01011327,1325,8,11
E01011328,1491,0,11
E01011329,1486,0,11
E01011330,1254,0,9
E01011331,1238,0,9
E01011332,1340,44,4
E01011333,1263,0,10
E01011334,1293,5,7
E01011335,1671,0,12
E01011336,1525,0,9
E01011337,1399,0,3
E01011338,1671,45,15
E01011339,1783,0,4
E01011340,1616,0,9
E01011341,1484,0,6
E01011342,1410,0,9
E01011343,1663,0,7
E01011344,1764,0,18
E01011345,1418,0,11
E01011346,1791,0,14
E01011347,1671,0,6
E01011348,1622,3,6
E01011349,1716,0,3
E01011350,1625,0,22
E01011351,1696,12,15
E01011352,1790,63,8
E01011353,1865,0,40
E01011354,1397,0,3
E01011355,1378,0,5
E01011356,1926,16,21
E01011357,1914,0,6
E01011358,1453,0,19
E01011359,1682,0,23
E01011360,2075,4,15
E01011361,2478,0,30
E01011362,1820,9,7
E01011363,1614,47,6
E01011364,1631,0,6
E01011366,1588,0,8
E01011368,1275,0,7
E01011369,1561,0,7
E01011370,1724,78,5
E01011371,1460,39,2
E01011372,1380,0,6
E01011373,1439,1,6
E01011374,1195,11,4
E01011375,1847,0,12
E01011376,1516,0,42
E01011377,1386,0,27
E01011378,1394,0,14
E01011379,1482,0,19
E01011380,1523,0,42
E01011381,1312,2,32
E01011382,1456,0,10
E01011383,1566,0,20
E01011384,1485,0,14
E01011385,1249,26,37
E01011386,1419,0,39
E01011388,1407,0,19
E01011390,1443,0,5
E01011391,1645,0,12
E01011392,1463,0,11
E01011393,1725,18,11
E01011394,1237,55,10
E01011395,1184,0,13
E01011396,1766,0,25
E01011397,1506,0,15
E01011398,1257,0,19
E01011399,1481,18,6
E01011400,1428,4,15
E01011401,1509,0,10
E01011402,1768,17,20
E01011403,1396,74,24
E01011404,1321,0,16
E01011405,1425,11,15
E01011406,1403,0,19
E01011407,1448,13,5
E01011408,1451,0,9
E01011409,1397,23,16
E01011410,1274,0,9
E01011411,1591,0,18
E01011412,1370,0,19
E01011413,1562,5,19
E01011414,1484,0,20
E01011415,1594,7,13
E01011416,1498,0,16
E01011417,1496,0,14
E01011418,1476,19,24
E01011419,1223,0,22
E01011420,1293,0,11
E01011421,1486,0,14
E01011422,1485,22,6
E01011423,1622,0,16
E01011424,1600,0,18
E01011425,1561,8,15
E01011426,1705,4,5
E01011427,1769,0,16
E01011428,1870,0,5
E01011429,2007,8,6
E01011430,1508,0,23
E01011431,1878,24,24
E01011432,1558,11,7
E01011433,1538,0,6
E01011434,1397,0,3
E01011435,1820,37,18
E01011440,1622,0,22
E01011441,1954,72,22
E01011442,1619,4,14
E01011443,1381,9,6
E01011444,1849,13,21
E01011445,1679,0,17
E01011446,1574,0,13
E01011447,1428,91,12
E01011448,1572,30,22
E01011449,1383,3,8
E01011450,1226,0,11
E01011451,2107,1170,42
E01011452,1524,0,23
E01011453,1482,0,21
E01011454,1492,0,26
E01011455,1382,213,35
E01011456,1707,0,24
E01011457,1591,135,44
E01011458,1382,0,19
E01011459,1582,15,18
E01011460,1409,29,6
E01011461,1530,0,31
E01011462,1632,0,22
E01011463,1583,0,13
E01011464,1678,0,15
E01011465,1532,25,4
E01011466,1489,35,3
E01011467,1542,163,1
E01011468,1500,0,3
E01011469,1460,0,4
E01011470,1266,0,5
E01011471,1400,0,16
E01011472,1598,34,7
E01011473,1476,0,3
E01011474,1457,0,3
E01011475,1497,0,4
E01011476,1195,0,6
E01011477,1928,86,20
E01011478,1679,0,3
E01011479,1476,0,5
E01011480,1590,8,5
E01011481,1578,20,6
E01011482,1693,0,8
E01011483,1570,17,6
E01011484,1538,0,13
E01011485,1524,19,20
E01011488,1431,0,14
E01011489,1687,0,12
E01011490,2518,4,14
E01011491,1357,0,6
E01011492,1366,22,4
E01011493,1540,12,5
E01011494,1304,0,4
E01011496,1510,10,18
E01011497,1608,0,8
E01011499,2588,28,15
E01011500,1590,30,10
E01011502,1333,0,10
E01011504,1426,36,9
E01011505,1599,0,20
E01011506,1439,0,22
E01011507,1580,0,20
E01011508,1414,0,34
E01011509,1351,0,31
E01011510,1576,40,18
E01011511,1329,5,22
E01011512,1566,4,29
E01011513,2181,17,45
E01011514,1631,3,27
E01011515,1421,0,29
E01011516,1704,0,34
E01011517,1638,0,22
E01011518,2187,0,8
E01011519,1488,0,5
E01011520,1491,0,5
E01011521,1968,0,15
E01011522,1396,0,17
E01011523,1782,78,15
E01011524,1241,6,8
E01011525,1576,47,7
E01011526,1291,0,14
E01011527,1773,0,14
E01011528,1596,0,19
E01011529,1434,3,11
E01011530,1460,0,9
E01011531,1461,37,11
E01011532,1556,0,9
E01011533,1294,0,6
E01011534,1421,0,15
E01011535,1664,0,22
E01011536,1587,0,7
E01011537,2066,43,11
E01011538,1507,10,12
E01011540,1439,0,10
E01011541,1714,24,7
E01011545,1388,0,5
E01011546,1664,15,4
E01011547,1781,8,11
E01011548,1445,0,20
E01011549,1503,0,43
E01011550,1404,0,12
E01011551,1565,0,20
E01011552,1467,0,3
E01011553,1436,0,11
E01011554,1446,0,28
E01011555,1362,0,39
E01011556,1576,0,12
E01011557,1529,19,38
E01011558,1577,0,13
E01011559,1259,27,12
E01011560,1800,0,18
E01011561,1217,0,27
E01011562,1592,0,39
E01011563,1416,0,30
E01011564,1501,0,44
E01011565,1433,0,32
E01011566,1309,0,14
E01011567,1393,0,45
E01011568,1831,6,46
E01011569,1662,0,27
E01011570,2284,0,44
E01011571,1597,40,27
E01011572,1763,0,29
E01011573,1341,0,19
E01011574,1456,50,24
E01011576,1432,28,46
E01011578,1321,0,6
E01011579,1245,0,21
E01011580,1342,0,39
E01011581,1469,0,20
E01011582,1651,0,8
E01011583,1479,0,22
E01011584,1250,0,29
E01011585,1435,0,7
E01011586,1494,0,11
E01011587,1663,3,8
E01011588,1725,33,20
E01011589,1521,0,11
E01011590,1540,26,22
E01011591,1616,0,9
E01011592,1402,0,10
E01011593,1764,0,24
E01011594,1455,0,5
